"id";"nom";"codepostal";"longitude";"latitude"
"saint-genis-pouilly";"Saint-Genis-Pouilly";"01630";6.01667;46.25
"peronnas";"Péronnas";"01960";5.2;46.1833
"miribel-01";"Miribel";"01700";4.95306;45.8245
"thoiry-01";"Thoiry";"01710";5.97973;46.2364
"divonne-les-bains";"Divonne-les-Bains";"01220";6.13333;46.3667
"lagnieu";"Lagnieu";"01150";5.35;45.9
"amberieu-en-bugey";"Ambérieu-en-Bugey";"01500";5.35;45.95
"ferney-voltaire";"Ferney-Voltaire";"01210";6.11667;46.25
"viriat";"Viriat";"01440";5.21667;46.25
"oyonnax";"Oyonnax";"01100";5.66667;46.25
"montluel";"Montluel";"01120";5.05;45.85
"belley";"Belley";"01300";5.68333;45.7667
"jassans-riottier";"Jassans-Riottier";"01480";4.75;45.9833
"meximieux";"Meximieux";"01800";5.2;45.9
"prevessin-moens";"Prévessin-Moëns";"01280";6.08333;46.25
"trevoux-01";"Trévoux";"01600";4.76667;45.9333
"bellegarde-sur-valserine";"Bellegarde-sur-Valserine";"01200";5.81667;46.1
"bourg-en-bresse";"Bourg-en-Bresse";"01000";5.21667;46.2
"saint-denis-les-bourg";"Saint-Denis-lès-Bourg";"01000";5.2;46.2
"gex";"Gex";"01170";6.06667;46.3333
"soissons";"Soissons";"02200";3.33333;49.3667
"chauny";"Chauny";"02300";3.21667;49.6167
"laon";"Laon";"02000";3.61667;49.5667
"tergnier";"Tergnier";"02700";3.3;49.65
"hirson";"Hirson";"02500";4.08333;49.9167
"guise";"Guise";"02120";3.63333;49.9
"chateau-thierry";"Château-Thierry";"02400";3.4;49.05
"saint-quentin";"Saint-Quentin";"02100";3.28333;49.85
"villers-cotterets";"Villers-Cotterêts";"02600";3.08333;49.25
"bohain-en-vermandois";"Bohain-en-Vermandois";"02110";3.45;49.9833
"gauchy";"Gauchy";"02430";3.26667;49.8167
"domerat";"Domérat";"03410";2.53333;46.35
"yzeure";"Yzeure";"03400";3.35;46.5667
"gannat";"Gannat";"03800";3.2;46.1
"montlucon";"Montluçon";"03100";2.6;46.3333
"bellerive-sur-allier";"Bellerive-sur-Allier";"03700";3.4;46.1167
"vichy";"Vichy";"03200";3.41667;46.1167
"commentry";"Commentry";"03600";2.75;46.2833
"cusset";"Cusset";"03300";3.46667;46.1333
"moulins-03";"Moulins";"03000";3.33333;46.5667
"chateau-arnoux-saint-auban";"Château-Arnoux-Saint-Auban";"04160";6.00917;44.0942
"oraison";"Oraison";"04700";5.91667;43.9167
"sisteron";"Sisteron";"04200";5.93333;44.2
"manosque";"Manosque";"04100";5.78333;43.8333
"digne-les-bains";"Digne-les-Bains";"04000";6.23639;44.0933
"embrun";"Embrun";"05200";6.5;44.5667
"gap";"Gap";"05000";6.08333;44.5667
"briancon";"Briançon";"05100";6.65;44.9
"gaude";"La Gaude";"06610";7.15;43.7167
"vence";"Vence";"06140";7.11667;43.7167
"grasse";"Grasse";"06130-06520";6.91667;43.6667
"peymeinade";"Peymeinade";"06530";6.88333;43.6333
"beausoleil";"Beausoleil";"06240";7.43333;43.75
"roquefort-les-pins";"Roquefort-les-Pins";"06330";7.05084;43.6656
"biot-06";"Biot";"06410";7.1;43.6333
"villefranche-sur-mer";"Villefranche-sur-Mer";"06230";7.31667;43.7
"valbonne";"Valbonne";"06560";7;43.6333
"vallauris";"Vallauris";"06220";7.05;43.5833
"contes-06";"Contes";"06390";7.31667;43.8167
"mouans-sartoux";"Mouans-Sartoux";"06370";6.96667;43.6167
"saint-andre-de-la-roche";"Saint-André-de-la-Roche";"06730";7.28333;43.7333
"antibes";"Antibes";"06600-06160";7.11667;43.5833
"cannes";"Cannes";"06400-06150";7.01667;43.55
"villeneuve-loubet";"Villeneuve-Loubet";"06270";7.11667;43.65
"pegomas";"Pégomas";"06580";6.93333;43.6
"mougins";"Mougins";"06250";7;43.6
"cannet-06";"Le Cannet";"06110";7.01667;43.5667
"carros";"Carros";"06510";7.18333;43.8
"trinite-06";"La Trinité";"06340";7.31667;43.75
"cagnes-sur-mer";"Cagnes-sur-Mer";"06800";7.15;43.6667
"menton";"Menton";"06500";7.5;43.7833
"saint-laurent-du-var";"Saint-Laurent-du-Var";"06700";7.18333;43.6667
"nice";"Nice";"06000-06100-06200-06300";7.25;43.7
"roquebrune-cap-martin";"Roquebrune-Cap-Martin";"06190";7.46667;43.7667
"cap-d-ail";"Cap-d'Ail";"06320";7.4;43.7167
"colle-sur-loup";"La Colle-sur-Loup";"06480";7.1;43.6833
"mandelieu-la-napoule";"Mandelieu-la-Napoule";"06210";6.93333;43.55
"saint-peray";"Saint-Péray";"07130";4.83333;44.95
"teil";"Le Teil";"07400";4.68333;44.55
"guilherand-granges";"Guilherand-Granges";"07500";4.87473;44.9345
"privas";"Privas";"07000";4.6;44.7333
"tournon-sur-rhone";"Tournon-sur-Rhône";"07300";4.83278;45.0673
"annonay";"Annonay";"07100";4.66667;45.2333
"bourg-saint-andeol";"Bourg-Saint-Andéol";"07700";4.65;44.3667
"voulte-sur-rhone";"La Voulte-sur-Rhône";"07800";4.78333;44.8
"aubenas";"Aubenas";"07200";4.38333;44.6167
"givet";"Givet";"08600";4.81667;50.1333
"nouzonville";"Nouzonville";"08700";4.75;49.8167
"charleville-mezieres";"Charleville-Mézières";"08090";4.71667;49.7667
"revin";"Revin";"08500";4.63333;49.9333
"rethel";"Rethel";"08300";4.36667;49.5167
"bogny-sur-meuse";"Bogny-sur-Meuse";"08120";4.76778;49.8508
"sedan";"Sedan";"08200";4.95;49.7
"saint-girons";"Saint-Girons";"09200";1.15;42.9833
"foix";"Foix";"09000";1.6;42.9667
"lavelanet";"Lavelanet";"09300";1.85;42.9333
"pamiers";"Pamiers";"09100";1.6;43.1167
"saint-julien-les-villas";"Saint-Julien-les-Villas";"10800";4.1;48.2667
"chapelle-saint-luc";"La Chapelle-Saint-Luc";"10600";4.05;48.3333
"sainte-savine";"Sainte-Savine";"10300";4.05;48.3
"nogent-sur-seine";"Nogent-sur-Seine";"10400";3.5;48.4833
"romilly-sur-seine";"Romilly-sur-Seine";"10100";3.71667;48.5167
"saint-andre-les-vergers";"Saint-André-les-Vergers";"10120";4.05;48.2833
"bar-sur-aube";"Bar-sur-Aube";"10200";4.71667;48.2333
"troyes";"Troyes";"10000";4.08333;48.3
"carcassonne";"Carcassonne";"11000";2.35;43.2167
"castelnaudary";"Castelnaudary";"11400";1.95;43.3167
"limoux";"Limoux";"11300";2.23333;43.0667
"narbonne";"Narbonne";"11100";3;43.1833
"sigean";"Sigean";"11130";2.98333;43.0333
"port-la-nouvelle";"Port-la-Nouvelle";"11210";3.05;43.0167
"lezignan-corbieres";"Lézignan-Corbières";"11200";2.76667;43.2
"trebes";"Trèbes";"11800";2.43333;43.2167
"coursan";"Coursan";"11110";3.06667;43.2333
"luc-la-primaube";"Luc-la-Primaube";"12450";2.53333;44.3167
"onet-le-chateau";"Onet-le-Château";"12850";2.53333;44.3833
"rodez";"Rodez";"12000";2.56667;44.3333
"saint-affrique";"Saint-Affrique";"12400";2.88722;43.9592
"millau";"Millau";"12100";3.08333;44.1
"villefranche-de-rouergue";"Villefranche-de-Rouergue";"12200";2.05;44.35
"decazeville";"Decazeville";"12300";2.25;44.55
"roque-d-antheron";"La Roque-d'Anthéron";"13640";5.31667;43.7167
"cassis";"Cassis";"13260";5.53333;43.2167
"senas";"Sénas";"13560";5.08333;43.75
"saint-remy-de-provence";"Saint-Rémy-de-Provence";"13210";4.83333;43.7833
"eguilles";"Éguilles";"13510";5.36667;43.5667
"istres";"Istres";"13118-13800";4.98333;43.5167
"noves";"Noves";"13550";4.9;43.8667
"aix-en-provence";"Aix-en-Provence";"13080-13090-13100-13290-13540";5.43333;43.5333
"allauch";"Allauch";"13190";5.48333;43.3333
"fare-les-oliviers";"La Fare-les-Oliviers";"13580";5.18333;43.55
"saint-cannat";"Saint-Cannat";"13760";5.3;43.6167
"bouc-bel-air";"Bouc-Bel-Air";"13320";5.41667;43.45
"peypin";"Peypin";"13124";5.58333;43.3833
"bouilladisse";"La Bouilladisse";"13720";5.58333;43.4
"roquefort-la-bedoule";"Roquefort-la-Bédoule";"13830";5.61667;43.25
"saint-victoret";"Saint-Victoret";"13730";5.23333;43.4167
"salon-de-provence";"Salon-de-Provence";"13300";5.1;43.6333
"marseille";"Marseille";"13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016";5.37639;43.2967
"port-saint-louis-du-rhone";"Port-Saint-Louis-du-Rhône";"13230";4.8;43.3833
"puy-sainte-reparade";"Le Puy-Sainte-Réparade";"13610";5.43333;43.6667
"chateaurenard";"Châteaurenard";"13160";4.85;43.8833
"mallemort";"Mallemort";"13370";5.18333;43.7333
"cabries";"Cabriès";"13480";5.38333;43.4333
