"id";"nom";"codepostal";"longitude";"latitude";"nbpersonnes2"
"laval-pradel";"Laval-Pradel";"30110";4.06667;44.2;1
"chaux-les-passavant";"Chaux-lès-Passavant";"25530";6.36667;47.2333;1
"saint-marcel-en-marcillat";"Saint-Marcel-en-Marcillat";"03420";2.58333;46.15;5
"mirandol-bourgnounac";"Mirandol-Bourgnounac";"81190";2.16667;44.1333;4
"haie-traversaine";"La Haie-Traversaine";"53300";-0.616667;48.3667;2
"chantemerle-les-grignan";"Chantemerle-lès-Grignan";"26230";4.83333;44.4;8
"allonnes-49";"Allonnes";"49650";0.0233333;47.2931;9
"chesne-08";"Le Chesne";"08390";4.76667;49.5167;6
"boulon";"Boulon";"14220";-0.4;49.05;5
"beurey";"Beurey";"10140";4.46667;48.1833;1
"bor-et-bar";"Bor-et-Bar";"12270";2.08333;44.2;5
"lussac-les-chateaux";"Lussac-les-Châteaux";"86320";0.716667;46.4;8
"vidai";"Vidai";"61360";0.383333;48.45;9
"guereins";"Guéreins";"01090";4.78333;46.1;5
"change-72";"Changé";"72560";0.283333;47.9833;1
"loches";"Loches";"37600";1;47.1333;7
"saint-jean-sur-erve";"Saint-Jean-sur-Erve";"53270";-0.383333;48.0333;6
"penne-06";"La Penne";"06260";6.95;43.9333;4
"meymac";"Meymac";"19250";2.16667;45.5333;1
"coisia";"Coisia";"39240";5.58333;46.3167;5
"saint-antheme";"Saint-Anthème";"63660";3.91667;45.5167;3
"dompierre-becquincourt";"Dompierre-Becquincourt";"80980";2.805;49.9076;8
"saint-medard-64";"Saint-Médard";"64370";-0.583333;43.5333;4
"lanvenegen";"Lanvénégen";"56320";-3.55;48;2
"curbigny";"Curbigny";"71800";4.31667;46.3;7
"fontareches";"Fontarèches";"30580";4.45;44.1167;2
"saint-pavace";"Saint-Pavace";"72190";0.187778;48.0384;5
"bonson-06";"Bonson";"06830";7.2;43.8667;5
"vaux-en-bugey";"Vaux-en-Bugey";"01150";5.35;45.9167;5
"lieres";"Lières";"62190";2.41667;50.55;2
"wignehies";"Wignehies";"59212";4;50.0167;3
"bagiry";"Bagiry";"31510";0.633333;42.9833;4
"vregille";"Vregille";"70150";5.9;47.3167;4
"cannes";"Cannes";"06400-06150";7.01667;43.55;3
"faucoucourt";"Faucoucourt";"02320";3.46667;49.5333;1
"escueillens-et-saint-just-de-belengard";"Escueillens-et-Saint-Just-de-Bélengard";"11240";2;43.1;2
"champigny-le-sec";"Champigny-le-Sec";"86170";0.15;46.7167;8
"vaux-saules";"Vaux-Saules";"21440";4.8;47.4667;5
"montels-81";"Montels";"81140";1.9;43.9667;8
"ardelles";"Ardelles";"28170";1.16667;48.55;8
"dissay-sous-courcillon";"Dissay-sous-Courcillon";"72500";0.466667;47.6667;3
"wildersbach";"Wildersbach";"67130";7.23333;48.4333;7
"saint-paul-et-valmalle";"Saint-Paul-et-Valmalle";"34570";3.66667;43.6333;4
"roncheres-02";"Ronchères";"02130";3.6;49.15;4
"quevauvillers";"Quevauvillers";"80710";2.08333;49.8167;4
"lapeyrouse-fossat";"Lapeyrouse-Fossat";"31180";1.51667;43.7;3
"ussel-46";"Ussel";"46240";1.5;44.5833;10
"saint-michel-82";"Saint-Michel";"82340";0.933333;44.0333;4
"percy-38";"Percy";"38930";5.64973;44.8014;2
"saint-just-malmont";"Saint-Just-Malmont";"43240";4.31667;45.3333;5
"cellier-du-luc";"Cellier-du-Luc";"07590";3.91667;44.6833;2
"ferte-milon";"La Ferté-Milon";"02460";3.11667;49.1667;9
"vieilles-maisons-sur-joudry";"Vieilles-Maisons-sur-Joudry";"45260";2.44472;47.8859;2
"remungol";"Remungol";"56500";-2.9;47.9333;2
"dormelles";"Dormelles";"77130";2.9;48.3167;5
"aubevoye";"Aubevoye";"27940";1.33333;49.15;3
"singles";"Singles";"63690";2.53333;45.55;6
"beaumont-sur-vesle";"Beaumont-sur-Vesle";"51360";4.18333;49.1667;2
"solesmes-72";"Solesmes";"72300";-0.3;47.85;2
"lagraulet-du-gers";"Lagraulet-du-Gers";"32330";0.216667;43.9;5
"boissy-le-repos";"Boissy-le-Repos";"51210";3.65;48.85;5
"limetz-villez";"Limetz-Villez";"78270";1.54861;49.0612;9
"annesse-et-beaulieu";"Annesse-et-Beaulieu";"24430";0.55;45.1667;9
"blye";"Blye";"39130";5.7;46.6167;10
